tic,datadate,conm,gvkey,iid,cusip,exchg,curcdd,prcod,prchd,prcld,prccd,cshtrd,cshoc,ajexdi,trfd,trfd_imputed,adj_close,total_ret_idx,ret_price,ret_total
XLRE,2026-03-20,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,41.85000000,41.94000000,40.41000000,40.59000000,15901300.00000000,183150000,1.00000000,1.42639436,0,40.59000000,57.89734707,,
XLRE,2026-03-23,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,40.92000000,41.11000000,40.59000000,40.62000000,15314690.00000000,178400000,1.00000000,1.43591419,0,40.62000000,58.32683440,0.00073910,0.00741808
XLRE,2026-03-24,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,40.42000000,40.73000000,40.22000000,40.29000000,9942778.00000000,177650000,1.00000000,1.43591419,0,40.29000000,57.85298272,-0.00812408,-0.00812408
XLRE,2026-03-25,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,40.46000000,40.58000000,40.09000000,40.27000000,9903379.00000000,176650000,1.00000000,1.43591419,0,40.27000000,57.82426443,-0.00049640,-0.00049640
XLRE,2026-03-26,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,40.19000000,40.59990000,40.03000000,40.29000000,14478370.00000000,176650000,1.00000000,1.43591419,0,40.29000000,57.85298272,0.00049665,0.00049665
XLRE,2026-03-27,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,40.22000000,40.45000000,39.94020000,40.01000000,6122383.00000000,176250000,1.00000000,1.43591419,0,40.01000000,57.45092674,-0.00694962,-0.00694962
XLRE,2026-03-30,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,40.46000000,40.75000000,40.04000000,40.21000000,12617020.00000000,179300000,1.00000000,1.43591419,0,40.21000000,57.73810958,0.00499875,0.00499875
XLRE,2026-03-31,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,40.69000000,41.14000000,40.35500000,40.83000000,13395140.00000000,178900000,1.00000000,1.43591419,0,40.83000000,58.62837638,0.01541905,0.01541905
XLRE,2026-04-01,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,40.87000000,41.12500000,40.75000000,40.95000000,11565560.00000000,181150000,1.00000000,1.43591419,0,40.95000000,58.80068608,0.00293902,0.00293902
XLRE,2026-04-02,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,40.89000000,41.68990000,40.70000000,41.61000000,7354563.00000000,179950000,1.00000000,1.43591419,0,41.61000000,59.74838945,0.01611722,0.01611722
XLRE,2026-04-06,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,41.52000000,41.86990000,41.40500000,41.76000000,5149136.00000000,179950000,1.00000000,1.43591419,0,41.76000000,59.96377657,0.00360490,0.00360490
XLRE,2026-04-07,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,41.59000000,41.87500000,41.35500000,41.72000000,5403344.00000000,180050000,1.00000000,1.43591419,0,41.72000000,59.90634001,-0.00095785,-0.00095785
XLRE,2026-04-08,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,42.31000000,42.51500000,42.12000000,42.44000000,5836544.00000000,180250000,1.00000000,1.43591419,0,42.44000000,60.94019822,0.01725791,0.01725791
XLRE,2026-04-09,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,42.29000000,43.11000000,42.23000000,42.73000000,5200716.00000000,180200000,1.00000000,1.43591419,0,42.73000000,61.35661334,0.00683318,0.00683318
XLRE,2026-04-10,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,42.77000000,42.96000000,42.61500000,42.82000000,4989498.00000000,178800000,1.00000000,1.43591419,0,42.82000000,61.48584562,0.00210625,0.00210625
XLRE,2026-04-13,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,42.66000000,43.03500000,42.55000000,43.02000000,4072992.00000000,179100000,1.00000000,1.43591419,0,43.02000000,61.77302845,0.00467071,0.00467071
XLRE,2026-04-14,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,42.97000000,43.47500000,42.85500000,43.43000000,4872782.00000000,179250000,1.00000000,1.43591419,0,43.43000000,62.36175327,0.00953045,0.00953045
XLRE,2026-04-15,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.34500000,43.42500000,43.13000000,43.41000000,3024273.00000000,179250000,1.00000000,1.43591419,0,43.41000000,62.33303499,-0.00046051,-0.00046051
XLRE,2026-04-16,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.53000000,43.83000000,43.47000000,43.81000000,4316718.00000000,179250000,1.00000000,1.43591419,0,43.81000000,62.90740066,0.00921447,0.00921447
XLRE,2026-04-17,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.93000000,44.55990000,43.88000000,44.48000000,3840335.00000000,179250000,1.00000000,1.43591419,0,44.48000000,63.86946317,0.01529331,0.01529331
XLRE,2026-04-20,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.40000000,44.65000000,44.32200000,44.64000000,3628814.00000000,179600000,1.00000000,1.43591419,0,44.64000000,64.09920944,0.00359712,0.00359712
XLRE,2026-04-21,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.58000000,44.64500000,43.75000000,43.78000000,5080848.00000000,179150000,1.00000000,1.43591419,0,43.78000000,62.86432324,-0.01926523,-0.01926523
XLRE,2026-04-22,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.91000000,44.14000000,43.30000000,43.46000000,5116164.00000000,178800000,1.00000000,1.43591419,0,43.46000000,62.40483070,-0.00730927,-0.00730927
XLRE,2026-04-23,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.65000000,44.01000000,43.50000000,43.96000000,4156566.00000000,178000000,1.00000000,1.43591419,0,43.96000000,63.12278779,0.01150483,0.01150483
XLRE,2026-04-24,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.00000000,44.18000000,43.80000000,43.83000000,3581007.00000000,178050000,1.00000000,1.43591419,0,43.83000000,62.93611895,-0.00295723,-0.00295723
XLRE,2026-04-27,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.66000000,43.97000000,43.43000000,43.49000000,4082351.00000000,178050000,1.00000000,1.43591419,0,43.49000000,62.44790812,-0.00775724,-0.00775724
XLRE,2026-04-28,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.75000000,43.95000000,43.32500000,43.91000000,6130665.00000000,178500000,1.00000000,1.43591419,0,43.91000000,63.05099208,0.00965739,0.00965739
XLRE,2026-04-29,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.75000000,44.03000000,43.48000000,43.64000000,9106778.00000000,178950000,1.00000000,1.43591419,0,43.64000000,62.66329525,-0.00614894,-0.00614894
XLRE,2026-04-30,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.54000000,44.47500000,43.50000000,44.40000000,7469829.00000000,178950000,1.00000000,1.43591419,0,44.40000000,63.75459004,0.01741522,0.01741522
XLRE,2026-05-01,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.49000000,44.57500000,44.17000000,44.32000000,7212421.00000000,173700000,1.00000000,1.43591419,0,44.32000000,63.63971690,-0.00180180,-0.00180180
XLRE,2026-05-04,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.16000000,44.44000000,43.90000000,44.08000000,4220332.00000000,174850000,1.00000000,1.43591419,0,44.08000000,63.29509750,-0.00541516,-0.00541516
XLRE,2026-05-05,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.12000000,44.27000000,43.85000000,44.17000000,5810225.00000000,174850000,1.00000000,1.43591419,0,44.17000000,63.42432977,0.00204174,0.00204174
XLRE,2026-05-06,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.44000000,44.91000000,44.41500000,44.74000000,5307712.00000000,175850000,1.00000000,1.43591419,0,44.74000000,64.24280086,0.01290469,0.01290469
XLRE,2026-05-07,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.56500000,44.74000000,44.17500000,44.40000000,6953751.00000000,175850000,1.00000000,1.43591419,0,44.40000000,63.75459004,-0.00759946,-0.00759946
XLRE,2026-05-08,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.52000000,44.72000000,44.38500000,44.41000000,3266874.00000000,177650000,1.00000000,1.43591419,0,44.41000000,63.76894918,0.00022523,0.00022523
